INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Stillman College,3,2,0.3859,689
Talladega College,3,2,NULL,1208
H Councill Trenholm State Community College,2,1,NULL,1567
Troy University,4,1,0.8767,13147
Tuskegee University,4,2,0.5182,2529
United States Sports Academy,4,2,NULL,266
Bevill State Community College,2,1,NULL,2825
University of Alaska Anchorage,4,1,0.8115,10482
Alaska Bible College,3,2,NULL,37
University of Alaska Fairbanks,4,1,0.7611,4657
University of Alaska Southeast,4,1,0.6333,1216
Alaska Pacific University,4,2,0.8425,283
Alaska Vocational Technical Center,1,1,NULL,855
Charter College,4,3,1,2853
Alaska Career College,2,3,NULL,415
Empire Beauty School-Tucson,1,3,NULL,102
Carrington College-Phoenix North,2,3,0.8951,475
Carrington College-Mesa,2,3,NULL,541
Carrington College-Tucson,1,3,0.8736,227
CollegeAmerica-Flagstaff,2,2,NULL,62
Arizona Academy of Beauty,1,3,NULL,57
Miller-Motte College-Arizona Automotive Institute,1,3,NULL,713
Brookline College-Phoenix,4,3,NULL,1230
Arizona State University Campus Immersion,4,1,0.8478,42529
Arizona Western College,2,1,NULL,6673
University of Arizona,4,1,0.8442,33509
Southwest University of Visual Arts-Tucson,3,3,NULL,124
Central Arizona College,2,1,NULL,4976
Charles of Italy Beauty College,1,3,NULL,43
Cochise County Community College District,2,1,NULL,3404
Empire Beauty School-Flagstaff,1,3,NULL,37
Empire Beauty School-Chandler,1,3,NULL,48
Cortiva Institute-Tucson,1,3,NULL,99
Avalon Institute-Mesa,1,3,NULL,356
Eastern Arizona College,2,1,NULL,4291
Embry-Riddle Aeronautical University-Prescott,4,2,0.6723,2712
The School of Architecture,4,2,NULL,NULL
Glendale Community College,2,1,NULL,13588
Grand Canyon University,4,3,0.732,53209
GateWay Community College,2,1,NULL,4188
Mesa Community College,2,1,NULL,15775
Mohave Community College,2,1,NULL,2778
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1,3,NULL,952
Dine College,3,1,NULL,1399
Northern Arizona University,4,1,0.8262,26647
Northland Pioneer College,2,1,NULL,1235
Ottawa University-Phoenix,4,2,NULL,340
Phoenix College,2,1,NULL,8472
Cortiva Institute-Scottsdale,1,3,NULL,69
Pima Community College,2,1,NULL,17246
Pima Medical Institute-Tucson,3,3,NULL,1851
Pima Medical Institute-Albuquerque,2,3,NULL,565
Prescott College,4,2,0.9516,394
Refrigeration School Inc,2,3,NULL,912
Rio Salado College,2,1,NULL,6066
Roberto-Venn School of Luthiery,1,3,NULL,20
Scottsdale Community College,2,1,NULL,5660
South Mountain Community College,2,1,NULL,2933
Arizona Christian University,3,2,0.5644,705
Universal Technical Institute of Arizona Inc,2,3,NULL,1869
Empire Beauty School-NW Phoenix,1,3,NULL,87
Yavapai College,2,1,NULL,4598
University of Arkansas at Little Rock,4,1,0.7933,6328
University of Arkansas for Medical Sciences,4,1,NULL,601
Arkansas Baptist College,3,2,NULL,525
Arkansas Beauty School-Little Rock,1,3,NULL,125
Arkansas Beauty College,1,3,NULL,15
Lyon College,3,2,0.4986,655
Arkansas Technical School,1,3,NULL,128
Arthur's Beauty College,1,3,NULL,31
University of Arkansas,4,1,0.7747,23121
University of Arkansas at Pine Bluff,4,1,0.4435,2467
Arkansas State University-Beebe,2,1,NULL,2473
Arkansas State University,4,1,0.7721,8623
Arkansas Tech University,4,1,0.9024,7896
University of Arkansas at Monticello,4,1,NULL,2412
Arthur's Beauty College,1,3,NULL,36
Baptist Health College Little Rock,2,2,0.6667,648
Black River Technical College,2,1,NULL,1270
University of Central Arkansas,4,1,0.911,8906
Central Baptist College,3,2,0.6074,663
Cossatot Community College of the University of Arkansas,2,1,NULL,903
Crowley's Ridge College,3,2,NULL,178
Crowley's Ridge Technical Institute,1,1,NULL,168
East Arkansas Community College,2,1,NULL,683
Eastern College of Health Vocations-Little Rock,1,3,NULL,121
Paul Mitchell the School-Little Rock,1,3,NULL,382
National Park College,2,1,NULL,1869
University of Arkansas Community College-Batesville,2,1,NULL,921
Harding University,4,2,0.7462,3953
Henderson State University,4,1,0.9055,2996
Hendrix College,4,2,0.7217,1192
Hot Springs Beauty College,1,3,NULL,28
Jefferson Regional Medical Center School of Nursing,2,2,NULL,70
John Brown University,4,2,0.7715,1575
Career Academy of Hair Design,1,3,NULL,211
Academy of Salon and Spa,1,3,NULL,53
Arkansas State University Mid-South,2,1,NULL,657
Arkansas Northeastern College,2,1,NULL,881
New Tyler Barber College Inc,1,3,NULL,38
North Arkansas College,2,1,NULL,1393
Northwest Technical Institute,1,1,NULL,237
Ouachita Baptist University,3,2,0.636,1546
Arkansas State University Three Rivers,2,1,NULL,567
Ozarka College,2,1,NULL,761
University of the Ozarks,3,2,0.5232,862
University of Arkansas Community College-Morrilton,2,1,0.7415,1720
Philander Smith College,3,2,NULL,1000
Phillips Community College of the University of Arkansas,2,1,NULL,710
Southeast Arkansas College,2,1,NULL,947
Professional Cosmetology Education Center,1,3,NULL,30
University of Arkansas-Pulaski Technical College,2,1,NULL,4599
University of Arkansas Hope-Texarkana,2,1,NULL,1542
University of Arkansas Community College Rich Mountain,2,1,NULL,449
Paul Mitchell the School-Arkansas,1,3,NULL,95
Searcy Beauty College,1,3,NULL,75
Shorter College,2,2,NULL,569
Williams Baptist University,3,2,0.5639,460
South Arkansas Community College,2,1,NULL,1143
Southern Arkansas University Main Campus,4,1,0.6878,3203
Southern Arkansas University Tech,2,1,NULL,733
Velvatex College of Beauty Culture,1,3,NULL,16
University of Arkansas-Fort Smith,4,1,NULL,5235
Academy of Art University,4,3,NULL,6898
Academy of Chinese Culture and Health Sciences,4,2,NULL,NULL
The Academy of Radio and TV Broadcasting,1,3,NULL,26
Avalon School of Cosmetology-Alameda,1,3,NULL,118
College of Alameda,2,1,NULL,4975
Allan Hancock College,2,1,NULL,9045
American Academy of Dramatic Arts-Los Angeles,2,2,0.7892,263
Berkeley School of Theology,4,2,NULL,NULL
American Film Institute Conservatory,4,2,NULL,NULL
American Beauty College,1,3,NULL,129
American Career College-Los Angeles,2,3,NULL,1284
American Conservatory Theater,4,2,NULL,0
American River College,2,1,NULL,28573
Antelope Valley Community College District,2,1,NULL,12080
Art Center College of Design,4,2,0.6765,1987
Associated Technical College-Los Angeles,1,3,NULL,367
Associated Technical College-San Diego,1,3,NULL,98
Azusa Pacific University,4,2,0.6851,5545
Bakersfield College,3,1,NULL,19178
Barstow Community College,2,1,NULL,2721
Bellus Academy-Chula Vista,1,3,NULL,202
Bethesda University,4,2,NULL,213
Biola University,4,2,0.7347,4005
Brownson Technical School,1,3,NULL,61
Bryan University,3,3,NULL,1075
Butte College,2,1,NULL,9942
California Institute of Integral Studies,4,2,NULL,61
Cabrillo College,2,1,NULL,10164
California Baptist University,4,2,0.7955,7811
California College of the Arts,4,2,0.8818,1453
University of California-Hastings College of Law,4,1,NULL,NULL
California Institute of Technology,4,2,0.0662,948
California Lutheran University,4,2,0.7147,3054
California Polytechnic State University-San Luis Obispo,4,1,0.3017,21047
Alliant International University-San Diego,4,3,1,289
California State University-Bakersfield,4,1,0.6051,9142
California State University-Stanislaus,4,1,0.8582,9272
California State University-San Bernardino,4,1,0.5483,17704
California State Polytechnic University-Pomona,4,1,0.5515,24841
California State University-Chico,4,1,0.6526,16317
California State University-Dominguez Hills,4,1,0.6394,13871
California State University-Fresno,4,1,0.5753,21732
California State University-Fullerton,4,1,0.4341,34637
California State University-East Bay,4,1,0.716,12728
California State University-Long Beach,4,1,0.3121,31503
California State University-Los Angeles,4,1,0.4152,24163
California State University-Northridge,4,1,0.5063,34911
California State University-Sacramento,4,1,0.6386,28439
University of California-Berkeley,4,1,0.1484,30845
University of California-Davis,4,1,0.4107,30698
University of California-Irvine,4,1,0.2876,29722
University of California-Los Angeles,4,1,0.1404,31568
University of California-Riverside,4,1,0.5057,20574
University of California-San Diego,4,1,0.3006,30279
University of California-San Francisco,4,1,NULL,NULL
University of California-Santa Barbara,4,1,0.322,23063
University of California-Santa Cruz,4,1,0.4737,17792
Sofia University,4,3,NULL,4
California Beauty School,1,3,NULL,85
California Christian College,3,2,1,13
California Coast University,0,3,NULL,0
California Hair Design Academy,1,3,NULL,172
California Institute of the Arts,4,2,0.2297,1003
California State University Maritime Academy,4,1,0.6652,1016
California Western School of Law,4,2,NULL,NULL
Canada College,2,1,NULL,4867
College of the Canyons,2,1,NULL,18649
Career Academy of Beauty,1,3,NULL,171
Casa Loma College-Van Nuys,2,2,0.913,175
CET-San Diego,1,2,NULL,174
CET-San Jose,1,2,NULL,248
CET-El Centro,1,2,NULL,230
CET-Colton,1,2,NULL,154
CET-Watsonville,1,2,NULL,61
CET-Salinas,1,2,NULL,162
Cerritos College,2,1,NULL,20368
Cerro Coso Community College,2,1,NULL,4890
Chabot College,2,1,NULL,12621
Chaffey College,2,1,NULL,19650
Chapman University,4,2,0.5356,7026
Charles R Drew University of Medicine and Science,4,2,0.3727,163
Concordia University-Irvine,4,2,0.6178,1784
San Diego Christian College,4,2,0.6013,448
Church Divinity School of the Pacific,4,2,NULL,NULL
Citrus College,2,1,NULL,11745
Citrus Heights Beauty College,1,3,NULL,86
City College of San Francisco,2,1,NULL,24429
Claremont Graduate University,4,2,NULL,NULL
Claremont McKenna College,4,2,0.0931,1318
Milan Institute-Visalia,1,3,NULL,273
Clovis Adult Education,1,1,NULL,752
Coastline Community College,2,1,NULL,9459
University of Silicon Valley,3,3,0.5787,589
Coba Academy,1,3,NULL,90
Western University of Health Sciences,4,2,NULL,NULL
Columbia College,2,1,NULL,2180
Columbia College Hollywood,3,2,NULL,540
Compton College,2,1,NULL,5605
Contra Costa College,2,1,NULL,5702
Cosumnes River College,2,1,NULL,13045
Crafton Hills College,2,1,NULL,5661
Cuesta College,2,1,NULL,7853
Cuyamaca College,2,1,NULL,7412
Cypress College,2,1,NULL,14068
De Anza College,2,1,NULL,17325
International School of Beauty Inc,1,3,NULL,127
Dell'Arte International School of Physical Theatre,4,2,NULL,10
College of the Desert,2,1,NULL,10418
Design Institute of San Diego,3,3,0.5882,98
Diablo Valley College,2,1,NULL,18327
Dominican University of California,4,2,0.8717,1264
Dominican School of Philosophy & Theology,4,2,NULL,NULL
East Los Angeles College,2,1,NULL,32876
El Camino Community College District,2,1,NULL,21292
Elegance International,1,3,NULL,256
Emperor's College of Traditional Oriental Medicine,4,3,NULL,NULL
Empire College,4,3,NULL,329
Evergreen Valley College,2,1,NULL,7865
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,3,3,0.5193,2198
FIDM-Fashion Institute of Design & Merchandising-San Francisco,3,3,0.4615,218
FIDM-Fashion Institute of Design & Merchandising-Orange County,3,3,0.6667,64
Feather River Community College District,3,1,NULL,1275
Federico Beauty Institute,1,3,NULL,346
Fielding Graduate University,4,2,NULL,NULL
Five Branches University,4,3,NULL,NULL
Redondo Beach Beauty College,1,3,NULL,115
Foothill College,3,1,NULL,13228
Franciscan School of Theology,4,2,NULL,NULL
Fredrick and Charles Beauty College,1,3,NULL,57
Fresno City College,2,1,NULL,20888
Fresno Pacific University,4,2,0.8511,2888
Fuller Theological Seminary,4,2,NULL,NULL
Fullerton College,2,1,NULL,20260
Gavilan College,2,1,NULL,4656
Gemological Institute of America-Carlsbad,1,2,NULL,197
Glendale Community College,2,1,NULL,12570
Glendale Career College,2,3,NULL,600
Golden Gate University,4,2,NULL,404
Golden West College,2,1,NULL,10881
Graduate Theological Union,4,2,NULL,NULL
Grossmont College,2,1,NULL,15838
Salon Success Academy-Riverside,1,3,NULL,84
Hartnell College,2,1,NULL,11274
Harvey Mudd College,3,2,0.1448,886
Hilltop Beauty School,1,3,NULL,96
Holy Names University,4,2,0.7004,626
Pacifica Graduate Institute,4,3,NULL,NULL
Humboldt State University,4,1,0.7679,7300
Humphreys University-Stockton and Modesto Campuses,4,2,NULL,315
Imperial Valley College,2,1,NULL,7265
Institute for Business and Technology,2,3,NULL,539
Interior Designers Institute,3,3,NULL,184
International School of Cosmetology,1,3,NULL,197
Irvine Valley College,2,1,NULL,11253
Bellus Academy-El Cajon,1,3,NULL,159
John F. Kennedy University,4,2,NULL,187
American Jewish University,4,2,0.96,67
Reedley College,2,1,NULL,8626
Life Pacific University,4,2,0.9568,504
University of La Verne,4,2,0.5089,5098
Laguna College of Art and Design,4,2,0.8093,705
Lake Tahoe Community College,2,1,NULL,2006
Lancaster Beauty School,1,3,NULL,128
Laney College,2,1,NULL,8271
Lassen Community College,2,1,NULL,2343
Life Chiropractic College West,4,2,NULL,NULL
Lincoln University,4,2,NULL,91
Southern California Seminary,4,2,NULL,50
La Sierra University,4,2,0.4709,1666
Loma Linda University,4,2,NULL,1052
Long Beach City College,2,1,NULL,22784
Southern California University of Health Sciences,4,2,NULL,112
Los Angeles Harbor College,2,1,NULL,7091
Los Angeles Pierce College,2,1,NULL,16482
Los Angeles Southwest College,2,1,NULL,4712
Los Angeles Trade Technical College,2,1,NULL,10816
Los Angeles Valley College,2,1,NULL,15106
The Master's University and Seminary,4,2,0.7688,1185
Los Angeles City College,2,1,NULL,12648
Los Angeles County College of Nursing and Allied Health,2,1,NULL,212
Los Angeles Mission College,2,1,NULL,8315
Los Medanos College,2,1,NULL,8577
Loyola Marymount University,4,2,0.4713,6557
Lu Ross Academy,1,3,NULL,199
Lyle's College of Beauty,1,3,NULL,75
Lyle's College of  Beauty,1,3,NULL,67
Lytles Redwood Empire Beauty College,1,3,1,110
MTI Business College Inc,1,3,NULL,80
MTI College,2,3,0.7857,787
College of Marin,2,1,NULL,4082
Marymount California University,4,2,NULL,735
Mendocino College,2,1,NULL,3006
Menlo College,3,2,0.4548,706
Merced College,2,1,NULL,9873
Merritt College,2,1,NULL,5942
Mills College,4,2,0.8554,757
MiraCosta College,2,1,NULL,12960
Mission College,2,1,NULL,6452
Modern Beauty Academy,1,3,NULL,50
Modesto Junior College,2,1,NULL,16453
Moler Barber College,1,3,NULL,273
Middlebury Institute of International Studies at Monterey,4,2,NULL,5
Monterey Peninsula College,2,1,NULL,6927
Moorpark College,2,1,NULL,13282
Mt San Antonio College,2,1,NULL,26702
Mount Saint Mary's University,4,2,0.8382,2349
Mt San Jacinto Community College District,2,1,NULL,14703
Musicians Institute,3,3,0.7564,992
Napa Valley College,2,1,NULL,4887
National Holistic Institute,1,3,NULL,1115
National University,4,2,NULL,7097
Naval Postgraduate School,4,1,NULL,NULL
Newschool of Architecture and Design,4,3,1,402
Newberry School of Beauty,1,3,NULL,110
North Adrian's College of Beauty Inc,1,3,NULL,209
North-West College-Pomona,1,3,NULL,269
North-West College-West Covina,2,3,1,658
North-West College-Van Nuys,1,3,NULL,182
Notre Dame de Namur University,4,2,0.9666,871
Occidental College,3,2,0.373,1910
Ohlone College,2,1,NULL,7768
Orange Coast College,2,1,NULL,19865
Otis College of Art and Design,4,2,0.9441,1080
Oxnard College,2,1,NULL,6770
Hope International University,4,2,0.2945,743
Concorde Career College-San Diego,2,3,0.9066,664
Palo Alto University,4,2,NULL,102
Pacific Oaks College,4,2,0.3095,476
Pacific School of Religion,4,2,NULL,NULL
Pacific States University,4,2,NULL,6
Pacific Union College,3,2,0.4944,1038
University of the Pacific,4,2,0.6348,3665
Palo Verde College,2,1,NULL,3597
Palomar College,2,1,NULL,21162
Pasadena City College,2,1,NULL,24838
Pepperdine University,4,2,0.3565,3619
Pitzer College,3,2,0.1333,1072
Platt College-San Diego,3,3,NULL,144
Point Loma Nazarene University,4,2,0.6893,3130
Pomona College,3,2,0.0761,1549
Porterville College,2,1,NULL,3561
Professional Institute of Beauty,1,3,NULL,85
Santa Ana College,2,1,NULL,26122
Pardee RAND Graduate School,4,2,NULL,NULL
Shasta School of Cosmetology,1,3,NULL,69
University of Redlands,4,2,0.7475,2945
College of the Redwoods,2,1,NULL,3971
Salon Success Academy-Upland,1,3,NULL,172
Salon Success Academy-Corona,1,3,NULL,102
Rio Hondo College,2,1,NULL,17823
Riverside City College,2,1,NULL,19022
Rosemead Beauty School,1,3,NULL,215
Dongguk University Los Angeles,4,2,NULL,0
Sacramento City College,2,1,NULL,19575
Saddleback College,2,1,NULL,17432
Samuel Merritt University,4,2,NULL,762
San Diego City College,2,1,NULL,12730
San Diego Mesa College,2,1,NULL,19232
San Diego Miramar College,2,1,NULL,13420
San Diego State University,4,1,0.3458,30018
University of San Diego,4,2,0.5292,5760
San Francisco Art Institute,4,2,0.9487,271
San Francisco Conservatory of Music,4,2,0.4521,221
San Francisco State University,4,1,0.7176,25799
University of Redlands Graduate School of Theology,4,2,NULL,NULL
University of San Francisco,4,2,0.6455,6661
San Joaquin College of Law,4,2,NULL,NULL
San Joaquin Delta College,2,1,NULL,15097
San Joaquin Valley College-Visalia,2,3,NULL,5113
William Jessup University,4,2,0.5853,1246
San Jose City College,2,1,NULL,7531
San Jose State University,4,1,0.5466,27125
College of San Mateo,2,1,NULL,7759
Santa Barbara Business College-Bakersfield,3,3,NULL,272
Santa Barbara Business College-Santa Maria,3,3,NULL,86
Santa Barbara City College,2,1,NULL,12920
Santa Clara University,4,2,0.4991,5504
Santa Monica College,3,1,NULL,26723
Santa Rosa Junior College,2,1,NULL,17261
Saybrook University,4,2,NULL,NULL
Scripps College,4,2,0.2424,1048
College of the Sequoias,2,1,NULL,10714
Shasta Bible College and Graduate School,4,2,1,37
Shasta College,3,1,NULL,6331
Sierra College,2,1,NULL,16171
Sierra College of Beauty,1,3,NULL,134
Trinity Law School,4,2,NULL,NULL
Simpson University,4,2,0.5,667
College of the Siskiyous,2,1,NULL,1398
Charles A Jones Career and Education Center,1,1,NULL,281
Skyline College,3,1,NULL,7772
San Bernardino Valley College,2,1,NULL,11894
Saint Mary's College of California,4,2,0.7719,2781
Solano Community College,2,1,NULL,7972
Sonoma State University,4,1,0.8965,8642
South Baylo University,4,2,NULL,NULL
South Coast College,2,3,NULL,221
Vanguard University of Southern California,4,2,0.4017,1842
Concorde Career College-Garden Grove,2,3,0.9732,609
Southwestern College,2,1,NULL,17431
St John's Seminary,4,2,NULL,NULL
Starr King School for the Ministry,4,2,NULL,NULL
Marshall B Ketchum University,4,2,NULL,NULL
Southern California Institute of Architecture,4,2,NULL,249
University of Southern California,4,2,0.1296,19548
Southwestern Law School,4,2,NULL,NULL
Taft College,2,1,NULL,5656
Claremont School of Theology,4,2,NULL,NULL
Thomas Aquinas College,3,2,0.7773,407
Epic Bible College & Graduate School,4,2,NULL,117
United Education Institute-Huntington Park Campus,1,3,NULL,810
Concorde Career College-San Bernardino,2,3,0.7972,737
Concorde Career College-North Hollywood,2,3,0.8384,617
Ventura College,2,1,NULL,12036
The Santa Barbara and Ventura Colleges of Law at Ventura,4,2,NULL,NULL
Victor Valley College,2,1,NULL,9611
Berkeley City College,2,1,NULL,5072
Walden University,4,3,NULL,6910
Waynes College of Beauty,1,3,NULL,36
West Hills College-Coalinga,2,1,NULL,3350
West Los Angeles College,3,1,NULL,10724
West Valley College,2,1,NULL,6719
Carrington College-Sacramento,2,3,0.887,1214
Westminster Theological Seminary in California,4,2,NULL,NULL
Westmont College,3,2,0.6241,1266
Whittier College,4,2,0.7595,1719
Woodbury University,4,2,0.6566,1051
The Wright Institute,4,2,NULL,NULL
Thomas Jefferson School of Law,4,2,NULL,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,3,2,0.7113,155
Yuba College,2,1,NULL,4901
The Salon Professional Academy-Grand Junction,1,3,NULL,73
Adams State University,4,1,0.9865,1881
Aims Community College,2,1,NULL,3834
Arapahoe Community College,2,1,NULL,6906
Bel-Rea Institute of Animal Technology,2,3,0.2415,275
University of Colorado Denver/Anschutz Medical Campus,4,1,0.6363,11892
University of Colorado Colorado Springs,4,1,0.9118,10475
Spartan College of Aeronautics and Technology,2,3,NULL,339
University of Colorado Boulder,4,1,0.8154,29753
Colorado Christian University,4,2,NULL,4936
Colorado College,4,2,0.15,2098
Concorde Career College-Aurora,2,3,0.7273,778
Colorado Mountain College,3,1,NULL,3250
Colorado Northwestern Community College,2,1,NULL,619
Colorado School of Mines,4,1,0.4919,4906
Colorado School of Trades,2,3,0.9688,135
Colorado State University-Fort Collins,4,1,0.8387,24210
Colorado Technical University-Colorado Springs,4,3,NULL,22243
Community College of Aurora,2,1,NULL,4347
CollegeAmerica-Denver,2,2,NULL,123
Technical College of the Rockies,1,1,NULL,182
Community College of Denver,3,1,NULL,6738
Lincoln College of Technology-Denver,2,3,NULL,1303
Denver Seminary,4,2,NULL,NULL
University of Denver,4,2,0.5647,5791
Emily Griffith Technical College,1,1,NULL,5066
Fort Lewis College,4,1,0.9092,3118
Front Range Community College,2,1,NULL,13461
Iliff School of Theology,4,2,NULL,NULL
International Salon and Spa Academy,1,3,NULL,276
Lamar Community College,2,1,NULL,464
Colorado Mesa University,4,1,0.8072,8384
Metropolitan State University of Denver,4,1,0.5945,18809
Morgan Community College,2,1,NULL,645
Naropa University,4,2,0.9845,409
Nazarene Bible College,3,2,NULL,555
Northeastern Junior College,2,1,NULL,1103
University of Northern Colorado,4,1,0.9075,8903
Otero Junior College,2,1,NULL,806
Altierus Career College-Thornton,2,2,NULL,7
Pikes Peak Community College,2,1,NULL,10562
Pueblo Community College,3,1,NULL,3757
Red Rocks Community College,3,1,NULL,5920
Regis University,4,2,0.6029,3926
Rocky Mountain College of Art and Design,4,3,NULL,1051
Montessori Education Center of the Rockies,1,2,0.9375,17
Colorado State University Pueblo,4,1,0.952,3630
Pickens Technical College,1,1,NULL,1202
Intellitec College-Colorado Springs,2,3,NULL,598
Intellitec College-Grand Junction,2,3,NULL,841
Trinidad State Junior College,2,1,NULL,1021
United States Air Force Academy,3,1,0.1139,4336
Empire Beauty School-Thornton,1,3,NULL,101
Western Colorado University,4,1,0.8891,1940
Albertus Magnus College,4,2,0.5807,1113
Asnuntuck Community College,2,1,NULL,1479
Bais Binyomin Academy,3,2,0.8182,34
Branford Hall Career Institute-Branford Campus,1,3,NULL,117
University of Bridgeport,4,2,0.5724,3415
Central Connecticut State University,4,1,0.6724,9325
Charter Oak State College,4,1,NULL,1478
Cortiva Institute,1,3,NULL,231
Connecticut College,3,2,0.3776,1798
Porter and Chester Institute of Hamden,1,3,NULL,260
University of Connecticut,4,1,0.4877,18830
Goodwin University,3,2,NULL,3157
Lincoln Technical Institute-East Windsor,1,3,NULL,913
Eastern Connecticut State University,4,1,0.6573,4674
Fairfield University,4,2,0.603,4103
Paul Mitchell the School-North Haven,1,3,NULL,193
Capital Community College,2,1,NULL,2966
Rensselaer at Hartford,4,2,NULL,NULL
American Institute-West Hartford,1,3,NULL,422
Hartford Seminary,4,2,NULL,NULL
University of Hartford,4,2,0.7136,4750
Holy Apostles College and Seminary,4,2,NULL,137
Housatonic Community College,2,1,NULL,4651
Manchester Community College,2,1,NULL,5489
Naugatuck Valley Community College,2,1,NULL,5699
Middlesex Community College,2,1,NULL,2207
Mitchell College,3,2,0.8286,588
Three Rivers Community College,2,1,NULL,3671
Lincoln Technical Institute-New Britain,1,3,NULL,501
New England Tractor Trailer Training School of Connecticut,1,3,NULL,296
University of New Haven,4,2,0.8387,5041
Norwalk Community College,2,1,NULL,4400
Northwestern Connecticut Community College,2,1,NULL,1002
Paier College,3,3,NULL,71
Porter and Chester Institute,1,3,NULL,1982
Post University,4,3,0.5301,8770
Quinebaug Valley Community College,2,1,NULL,1236
Quinnipiac University,4,2,0.7247,7371
Sacred Heart University,4,2,0.6044,5907
University of Saint Joseph,4,2,0.7235,865
Gateway Community College,2,1,NULL,6274
Southern Connecticut State University,4,1,0.6623,7890
Stone Academy-West Haven,1,3,NULL,544
Trinity College,4,2,0.3355,2162
Tunxis Community College,2,1,NULL,3440
United States Coast Guard Academy,3,1,0.1907,1071
Wesleyan University,4,2,0.1746,2922
Western Connecticut State University,4,1,0.7924,4872
Yale University,4,2,0.0635,5963
Margaret H Rollins School of Nursing at Beebe Medical Center,1,2,NULL,65
Dawn Career Institute LLC,1,3,NULL,128
Delaware Technical Community College-Terry,2,1,NULL,12152
Delaware State University,4,1,0.4917,3835
University of Delaware,4,1,0.6639,19060
Goldey-Beacom College,4,2,0.5323,730
Schilling-Douglas School of Hair Design LLC,1,3,NULL,123
Wesley College,4,2,0.6182,1163
Wilmington University,4,2,NULL,8079
American University,4,2,0.3154,7485
The Catholic University of America,4,2,0.8368,3294
University of the District of Columbia,4,1,NULL,3656
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,4,2,NULL,NULL
Gallaudet University,4,2,0.5706,1112
George Washington University,4,2,0.4187,12161
Georgetown University,4,2,0.1452,7089
Howard University,4,2,0.3159,6166
Strayer University-District of Columbia,4,3,NULL,718
National Conservatory of Dramatic Arts,1,2,0.8,41
Trinity Washington University,4,2,0.9512,1364
Wesley Theological Seminary,4,2,NULL,NULL
Atlantic Technical College,1,1,NULL,3626
The Baptist College of Florida,4,2,0.8485,338
Barry University,4,2,0.9125,3368
Bethune-Cookman University,4,2,NULL,3619
Lynn University,4,2,0.7045,2194
North Florida Technical College,1,1,NULL,73
Eastern Florida State College,3,1,NULL,12287
Broward College,3,1,NULL,34230
Albizu University-Miami,4,2,0.5,126
College of Central Florida,3,1,NULL,5711
Johnson University Florida,4,2,0.6541,199
University of Central Florida,4,1,0.4253,58392
Charlotte Technical College,1,1,NULL,272
Chipola College,3,1,NULL,1496
Lorenzo Walker Technical College,1,1,NULL,741
Daytona State College,3,1,NULL,11158
South University-West Palm Beach,4,3,NULL,554
Eckerd College,3,2,0.6766,1987
Florida SouthWestern State College,3,1,NULL,12651
Edward Waters University,3,2,0.5554,968
Embry-Riddle Aeronautical University-Daytona Beach,4,2,0.655,5925
Florida Agricultural and Mechanical University,4,1,0.3886,7711
