INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
University of Arizona,4,1,0.7862,33402
Southwest University of Visual Arts-Tucson,4,3,NULL,132
Central Arizona College,2,1,NULL,4865
Brown Mackie College-Tucson,3,3,NULL,171
Charles of Italy Beauty College,1,3,NULL,60
Cochise County Community College District,2,1,NULL,3764
Empire Beauty School-Flagstaff,1,3,NULL,35
Empire Beauty School-Chandler,1,3,NULL,62
Cortiva Institute-Tucson,1,3,NULL,89
Avalon Institute-Mesa,1,3,NULL,286
Eastern Arizona College,2,1,NULL,5082
Embry-Riddle Aeronautical University-Prescott,4,2,0.7634,2363
The School of Architecture,4,2,NULL,NULL
Glendale Community College,2,1,NULL,14854
Grand Canyon University,4,3,0.5694,45495
Olympian Academy of Cosmetology,1,3,NULL,55
GateWay Community College,2,1,NULL,4435
Mesa Community College,2,1,NULL,16672
Mohave Community College,2,1,NULL,2770
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1,3,NULL,1182
Dine College,3,1,NULL,1276
Northern Arizona University,4,1,0.7804,26399
Northland Pioneer College,2,1,NULL,1469
Ottawa University-Phoenix,4,2,NULL,293
Phoenix College,2,1,NULL,9423
Cortiva Institute-Scottsdale,1,3,NULL,89
Pima Community College,2,1,NULL,21843
Pima Medical Institute-Tucson,3,3,NULL,2109
Pima Medical Institute-Albuquerque,2,3,NULL,872
Prescott College,4,2,0.6847,351
Refrigeration School Inc,2,3,NULL,657
Rio Salado College,2,1,NULL,6514
Roberto-Venn School of Luthiery,1,3,NULL,40
Hair Academy of Safford,1,3,NULL,57
Scottsdale Community College,2,1,NULL,6431
South Mountain Community College,2,1,NULL,3244
Arizona Christian University,3,2,0.5916,684
Tucson College,1,3,NULL,102
Universal Technical Institute of Arizona Inc,2,3,NULL,1896
Western International University,4,3,NULL,1133
Empire Beauty School-NW Phoenix,1,3,NULL,95
Yavapai College,2,1,NULL,4634
University of Arkansas at Little Rock,4,1,0.8983,7023
University of Arkansas for Medical Sciences,4,1,NULL,656
Arkansas Baptist College,3,2,NULL,878
Arkansas Beauty School-Little Rock,1,3,NULL,89
Arkansas Beauty College,1,3,NULL,17
Lyon College,3,2,0.7417,683
Arkansas Technical School,1,3,NULL,131
Arthur's Beauty College,1,3,NULL,39
University of Arkansas,4,1,0.632,22254
University of Arkansas at Pine Bluff,4,1,0.4193,2711
Arkansas State University-Beebe,2,1,NULL,2826
Arkansas State University,4,1,0.704,9128
Arkansas Tech University,4,1,0.6391,8463
University of Arkansas at Monticello,4,1,NULL,2633
Arthur's Beauty College,1,3,NULL,73
Baptist Health College Little Rock,1,2,0.7826,661
Black River Technical College,2,1,NULL,1217
University of Central Arkansas,4,1,0.8978,9082
Central Baptist College,3,2,0.6195,731
Cossatot Community College of the University of Arkansas,2,1,NULL,916
Crowley's Ridge College,3,2,NULL,197
Crowley's Ridge Technical Institute,1,1,NULL,189
East Arkansas Community College,2,1,NULL,665
Eastern College of Health Vocations-Little Rock,1,3,NULL,134
Paul Mitchell the School-Little Rock,1,3,NULL,366
National Park College,2,1,NULL,2039
University of Arkansas Community College-Batesville,2,1,NULL,995
Harding University,4,2,0.7018,4377
Henderson State University,4,1,0.6611,3048
Hendrix College,4,2,0.771,1315
Hot Springs Beauty College,1,3,NULL,8
Jefferson Regional Medical Center School of Nursing,2,2,NULL,61
John Brown University,4,2,0.7711,1661
Lees School of Cosmetology,1,3,NULL,12
Career Academy of Hair Design,1,3,NULL,222
Academy of Salon and Spa,1,3,NULL,73
Arkansas State University Mid-South,2,1,NULL,912
Arkansas Northeastern College,2,1,NULL,1023
New Tyler Barber College Inc,1,3,NULL,54
North Arkansas College,2,1,NULL,1545
Northwest Technical Institute,1,1,NULL,249
Ouachita Baptist University,3,2,0.6688,1477
Arkansas State University Three Rivers,2,1,NULL,710
Ozarka College,2,1,NULL,907
University of the Ozarks,3,2,0.8682,672
University of Arkansas Community College-Morrilton,2,1,0.7719,1931
Philander Smith College,3,2,NULL,764
Phillips Community College of the University of Arkansas,2,1,NULL,683
Southeast Arkansas College,2,1,NULL,1218
Professional Cosmetology Education Center,1,3,NULL,25
University of Arkansas-Pulaski Technical College,2,1,NULL,5776
University of Arkansas Hope-Texarkana,2,1,NULL,1477
University of Arkansas Community College Rich Mountain,2,1,NULL,468
Paul Mitchell the School-Arkansas,1,3,NULL,113
Searcy Beauty College,1,3,NULL,72
Shorter College,2,2,NULL,446
Williams Baptist University,3,2,0.6051,434
South Arkansas Community College,2,1,NULL,1112
Southern Arkansas University Main Campus,4,1,0.6913,3012
Southern Arkansas University Tech,2,1,NULL,716
Velvatex College of Beauty Culture,1,3,NULL,9
University of Arkansas-Fort Smith,3,1,NULL,5511
Academy of Art University,4,3,NULL,8182
Academy of Chinese Culture and Health Sciences,4,2,NULL,NULL
The Academy of Radio and TV Broadcasting,1,3,NULL,11
Avalon School of Cosmetology-Alameda,1,3,NULL,120
College of Alameda,2,1,NULL,5292
Allan Hancock College,2,1,NULL,9445
American Academy of Dramatic Arts-Los Angeles,2,2,0.7701,303
Berkeley School of Theology,4,2,NULL,NULL
American Film Institute Conservatory,4,2,NULL,NULL
American Beauty College,1,3,NULL,126
American Career College-Los Angeles,2,3,NULL,1315
American Conservatory Theater,4,2,NULL,1
American River College,2,1,NULL,27680
Antelope Valley Community College District,2,1,NULL,11977
Art Center College of Design,4,2,0.6925,1897
Associated Technical College-Los Angeles,1,3,NULL,440
Associated Technical College-San Diego,1,3,NULL,62
Azusa Pacific University,4,2,0.6146,5770
Bakersfield College,2,1,NULL,18274
Barstow Community College,2,1,NULL,2964
Bellus Academy-Chula Vista,1,3,NULL,199
Bethesda University,4,2,NULL,299
Biola University,4,2,0.6485,4083
Brownson Technical School,1,3,NULL,37
Bryan University,3,3,NULL,1489
Butte College,2,1,NULL,10410
Phillips Graduate University,4,2,NULL,NULL
California Institute of Integral Studies,4,2,NULL,70
Cabrillo College,2,1,NULL,10668
California Baptist University,4,2,0.6399,6904
California College of the Arts,4,2,0.6485,1516
University of California-Hastings College of Law,4,1,NULL,NULL
California Institute of Technology,4,2,0.0807,979
California Lutheran University,4,2,0.6419,2887
California Polytechnic State University-San Luis Obispo,4,1,0.2949,20367
Alliant International University-San Diego,4,3,0.7368,373
California State University-Bakersfield,4,1,0.6782,8144
California State University-Stanislaus,4,1,0.7434,8610
California State University-San Bernardino,4,1,0.5814,18317
California State Polytechnic University-Pomona,4,1,0.5916,23611
California State University-Chico,4,1,0.6525,16305
California State University-Dominguez Hills,4,1,0.4791,12666
California State University-Fresno,4,1,0.5354,21150
California State University-Fullerton,4,1,0.4823,34416
California State University-East Bay,4,1,0.6975,13361
California State University-Long Beach,4,1,0.3189,32170
California State University-Los Angeles,4,1,0.637,24046
California State University-Northridge,4,1,0.4824,35605
California State University-Sacramento,4,1,0.7194,27884
University of California-Berkeley,4,1,0.1693,29309
University of California-Davis,4,1,0.4228,29358
University of California-Irvine,4,1,0.4065,27317
University of California-Los Angeles,4,1,0.1799,30859
University of California-Riverside,4,1,0.6634,19788
University of California-San Diego,4,1,0.3566,28121
University of California-San Francisco,4,1,NULL,NULL
University of California-Santa Barbara,4,1,0.3577,21570
University of California-Santa Cruz,4,1,0.5785,16962
Sofia University,4,3,NULL,9
California Beauty School,1,3,NULL,111
California Christian College,2,2,1,18
Le Cordon Bleu College of Culinary Arts-San Francisco,2,3,NULL,162
California Hair Design Academy,1,3,NULL,214
California Institute of the Arts,4,2,0.236,951
California State University Maritime Academy,4,1,0.682,1107
California Western School of Law,4,2,NULL,NULL
Canada College,2,1,NULL,5212
College of the Canyons,2,1,NULL,17933
Career Academy of Beauty,1,3,NULL,149
Casa Loma College-Van Nuys,2,2,0.6031,226
CET-San Diego,1,2,NULL,195
CET-San Jose,1,2,NULL,300
CET-El Centro,1,2,NULL,258
CET-Colton,1,2,NULL,167
CET-Watsonville,1,2,NULL,92
CET-Salinas,1,2,NULL,73
Cerritos College,2,1,NULL,19568
Cerro Coso Community College,2,1,NULL,4214
Chabot College,2,1,NULL,12598
Chaffey College,2,1,NULL,19341
Chapman University,4,2,0.5403,6338
Charles R Drew University of Medicine and Science,4,2,0.25,88
Concordia University-Irvine,4,2,0.6504,1895
San Diego Christian College,4,2,0.533,690
Church Divinity School of the Pacific,4,2,NULL,NULL
Citrus College,2,1,NULL,11407
Citrus Heights Beauty College,1,3,NULL,89
City College of San Francisco,2,1,NULL,19248
Claremont Graduate University,4,2,NULL,NULL
Claremont McKenna College,4,2,0.0944,1344
Milan Institute-Visalia,1,3,NULL,393
Clovis Adult Education,1,1,NULL,695
Coastline Community College,2,1,NULL,9064
University of Silicon Valley,3,3,0.8256,649
Coleman University,4,2,NULL,335
Coba Academy,1,3,NULL,59
Western University of Health Sciences,4,2,NULL,NULL
Columbia College,2,1,NULL,2286
Columbia College Hollywood,3,2,0.5419,367
Compton College,2,1,NULL,6214
Contra Costa College,2,1,NULL,5094
Cosumnes River College,2,1,NULL,13001
Crafton Hills College,2,1,NULL,5058
Cuesta College,2,1,NULL,7755
Cuyamaca College,2,1,NULL,8049
Cypress College,2,1,NULL,14882
De Anza College,2,1,NULL,18906
International School of Beauty Inc,1,3,NULL,172
Dell'Arte International School of Physical Theatre,4,2,NULL,19
College of the Desert,2,1,NULL,9603
Design Institute of San Diego,3,3,NULL,143
Diablo Valley College,2,1,NULL,17721
Dominican University of California,4,2,0.7775,1374
Dominican School of Philosophy & Theology,4,2,NULL,NULL
East Los Angeles College,2,1,NULL,31670
El Camino Community College District,2,1,NULL,21643
Elegance International,1,3,NULL,453
Emperor's College of Traditional Oriental Medicine,4,3,NULL,NULL
Empire College,4,3,NULL,361
Evergreen Valley College,2,1,NULL,7464
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,3,3,0.4145,2624
FIDM-Fashion Institute of Design & Merchandising-San Francisco,3,3,0.3632,332
FIDM-Fashion Institute of Design & Merchandising-Orange County,3,3,0.5399,103
Feather River Community College District,2,1,NULL,1413
Federico Beauty Institute,1,3,NULL,270
Fielding Graduate University,4,2,NULL,NULL
Five Branches University,4,3,NULL,NULL
Hair California Beauty Academy,1,3,NULL,14
Redondo Beach Beauty College,1,3,NULL,16
Foothill College,2,1,NULL,13966
Franciscan School of Theology,4,2,NULL,NULL
Fredrick and Charles Beauty College,1,3,NULL,61
Fresno City College,2,1,NULL,19510
Fresno Pacific University,4,2,0.6848,2421
Fuller Theological Seminary,4,2,NULL,NULL
Fullerton College,2,1,NULL,22033
Gavilan College,2,1,NULL,4882
Gemological Institute of America-Carlsbad,1,2,NULL,302
Glendale Community College,2,1,NULL,13770
Glendale Career College,2,3,NULL,265
Golden Gate University,4,2,NULL,444
Golden West College,2,1,NULL,10987
Graduate Theological Union,4,2,NULL,NULL
Grossmont College,2,1,NULL,16630
Salon Success Academy-Riverside,1,3,NULL,63
Hartnell College,2,1,NULL,11473
Harvey Mudd College,3,2,0.1287,829
Hilltop Beauty School,1,3,NULL,124
Holy Names University,4,2,0.4846,515
Pacifica Graduate Institute,4,3,NULL,NULL
Humboldt State University,4,1,0.7709,7956
Humphreys University-Stockton and Modesto Campuses,4,2,NULL,392
Imperial Valley College,2,1,NULL,6873
Institute for Business and Technology,1,3,NULL,441
Interior Designers Institute,4,3,NULL,225
International School of Cosmetology,1,3,NULL,276
Irvine Valley College,2,1,NULL,12281
Bellus Academy-El Cajon,1,3,NULL,173
John F. Kennedy University,4,2,NULL,136
American Jewish University,4,2,0.5979,63
Reedley College,2,1,NULL,7899
Life Pacific University,4,2,0.9732,534
Argosy University-The Art Institute of California-San Diego,3,3,NULL,1118
University of La Verne,4,2,0.4806,5367
Laguna College of Art and Design,4,2,0.3919,567
Lake Tahoe Community College,2,1,NULL,1796
Lancaster Beauty School,1,3,NULL,142
Laney College,2,1,NULL,9482
Lassen Community College,2,1,NULL,1948
Life Chiropractic College West,4,2,NULL,NULL
Lincoln University,4,2,NULL,138
Southern California Seminary,4,2,NULL,76
La Sierra University,4,2,0.4593,1898
Loma Linda University,4,2,NULL,1038
Long Beach City College,2,1,NULL,23202
Southern California University of Health Sciences,4,2,NULL,73
Los Angeles Harbor College,2,1,NULL,8000
Los Angeles Pierce College,2,1,NULL,18099
Los Angeles Southwest College,2,1,NULL,5691
Los Angeles Trade Technical College,2,1,NULL,12055
Los Angeles Valley College,2,1,NULL,16203
The Master's University and Seminary,4,2,0.8318,1155
Los Angeles City College,2,1,NULL,14238
Los Angeles County College of Nursing and Allied Health,2,1,NULL,200
Los Angeles Mission College,2,1,NULL,8510
Los Medanos College,2,1,NULL,7906
Argosy University-The Art Institute of California-San Francisco,4,3,NULL,629
Loyola Marymount University,4,2,0.5387,6126
Lu Ross Academy,1,3,NULL,201
Lyle's College of Beauty,1,3,NULL,68
Lyle's College of  Beauty,1,3,NULL,60
Lytles Redwood Empire Beauty College,1,3,NULL,139
MTI Business College Inc,1,3,NULL,106
MTI College,2,3,0.7725,798
Brightwood College-Sacramento,2,3,NULL,224
Brightwood College-San Diego,2,3,NULL,652
Brightwood College-Vista,2,3,NULL,395
College of Marin,2,1,NULL,4482
Marymount California University,4,2,NULL,942
Mendocino College,2,1,NULL,3185
Menlo College,3,2,0.4087,787
Merced College,2,1,NULL,9478
Merritt College,2,1,NULL,5827
Mills College,4,2,0.8441,819
MiraCosta College,2,1,NULL,13905
Mission College,2,1,NULL,6323
Modern Beauty Academy,1,3,NULL,46
Brightwood College-Los Angeles-Van Nuys,2,3,NULL,485
Modesto Junior College,2,1,NULL,16552
Moler Barber College,1,3,NULL,169
Middlebury Institute of International Studies at Monterey,4,2,NULL,20
Monterey Peninsula College,2,1,NULL,7217
Moorpark College,2,1,NULL,13258
Mt San Antonio College,2,1,NULL,26595
Mount Saint Mary's University,4,2,0.8592,2779
Mt San Jacinto Community College District,2,1,NULL,14503
Musicians Institute,3,3,0.8047,906
Napa Valley College,2,1,NULL,5626
National Holistic Institute,1,3,NULL,919
National University,4,2,NULL,7982
Naval Postgraduate School,4,1,NULL,NULL
Newschool of Architecture and Design,4,3,0.9908,411
Newberry School of Beauty,1,3,NULL,151
North Adrian's College of Beauty Inc,1,3,NULL,339
North-West College-Pomona,1,3,NULL,218
North-West College-West Covina,1,3,1,315
North-West College-Van Nuys,1,3,NULL,192
Notre Dame de Namur University,4,2,0.9668,982
Occidental College,3,2,0.4581,1957
Oceanside College of Beauty,1,3,NULL,37
Ohlone College,2,1,NULL,8578
Orange Coast College,2,1,NULL,20465
Otis College of Art and Design,4,2,0.9295,1015
Oxnard College,2,1,NULL,6506
Hope International University,4,2,0.3211,940
Concorde Career College-San Diego,2,3,1,634
Palo Alto University,4,2,NULL,157
Pacific Oaks College,4,2,NULL,522
Pacific School of Religion,4,2,NULL,NULL
Pacific States University,4,2,NULL,12
Pacific Union College,4,2,0.4655,1400
University of the Pacific,4,2,0.6599,3474
Palo Verde College,2,1,NULL,3388
Palomar College,2,1,NULL,21431
Pasadena City College,2,1,NULL,24790
Pepperdine University,4,2,0.3687,3528
Pitzer College,3,2,0.1374,1062
Platt College-San Diego,3,3,NULL,202
Point Loma Nazarene University,4,2,0.6942,2986
Pomona College,3,2,0.0944,1547
Porterville College,2,1,NULL,3408
Professional Institute of Beauty,1,3,NULL,82
Santa Ana College,2,1,NULL,26204
Pardee RAND Graduate School,4,2,NULL,NULL
Shasta School of Cosmetology,1,3,NULL,66
University of Redlands,4,2,0.7475,3169
College of the Redwoods,2,1,NULL,4058
Salon Success Academy-Upland,1,3,NULL,161
Salon Success Academy-Corona,1,3,NULL,79
Rio Hondo College,2,1,NULL,16714
Riverside City College,2,1,NULL,17482
Argosy University-San Francisco Bay Area,4,3,NULL,110
Rosemead Beauty School,1,3,NULL,222
Dongguk University Los Angeles,4,2,NULL,32
Sacramento City College,2,1,NULL,20141
Saddleback College,2,1,NULL,17806
Samuel Merritt University,4,2,NULL,650
San Diego City College,2,1,NULL,14323
Golf Academy of America-San Diego,2,3,NULL,117
San Diego Mesa College,2,1,NULL,20443
San Diego Miramar College,2,1,NULL,12793
San Diego State University,4,1,0.3464,29398
University of San Diego,4,2,0.5138,5604
San Francisco Art Institute,4,2,0.9261,332
San Francisco Conservatory of Music,4,2,0.4175,187
San Francisco State University,4,1,0.682,24882
University of Redlands Graduate School of Theology,4,2,NULL,NULL
University of San Francisco,4,2,0.7137,6664
San Joaquin College of Law,4,2,NULL,NULL
San Joaquin Delta College,2,1,NULL,15097
San Joaquin Valley College-Visalia,2,3,NULL,5553
William Jessup University,4,2,0.7251,1159
San Jose City College,2,1,NULL,6840
San Jose State University,4,1,0.5344,26253
College of San Mateo,2,1,NULL,7779
Santa Barbara Business College-Bakersfield,3,3,NULL,422
Santa Barbara Business College-Santa Maria,3,3,NULL,104
Santa Barbara City College,2,1,NULL,13827
Santa Clara University,4,2,0.483,5411
Santa Monica College,2,1,NULL,28154
Santa Rosa Junior College,2,1,NULL,18488
Saybrook University,4,2,NULL,NULL
Scripps College,4,2,0.2988,1030
College of the Sequoias,2,1,NULL,10581
Shasta Bible College and Graduate School,4,2,1,46
Shasta College,2,1,NULL,7285
Sierra College,2,1,NULL,16357
Sierra College of Beauty,1,3,NULL,135
Trinity Law School,4,2,NULL,NULL
Simpson University,4,2,0.5215,788
College of the Siskiyous,2,1,NULL,1935
Charles A Jones Career and Education Center,1,1,NULL,307
Skyline College,2,1,NULL,8242
San Bernardino Valley College,2,1,NULL,11023
Saint Mary's College of California,4,2,0.8039,2789
Solano Community College,2,1,NULL,8219
Sonoma State University,4,1,0.7627,8572
South Baylo University,4,2,NULL,261
South Coast College,2,3,NULL,356
Vanguard University of Southern California,4,2,0.7024,1765
Concorde Career College-Garden Grove,2,3,0.9046,547
Southwestern College,2,1,NULL,16952
St John's Seminary,4,2,NULL,NULL
Starr King School for the Ministry,4,2,NULL,NULL
Marshall B Ketchum University,4,2,NULL,NULL
Southern California Institute of Architecture,4,2,NULL,257
University of Southern California,4,2,0.1662,18557
Southwestern Law School,4,2,NULL,NULL
Taft College,2,1,NULL,5550
Claremont School of Theology,4,2,NULL,NULL
Thomas Aquinas College,3,2,0.7461,386
Epic Bible College & Graduate School,4,2,0.7857,171
United Education Institute-Huntington Park Campus,1,3,NULL,598
Concorde Career College-San Bernardino,2,3,0.6411,679
Universal College of Beauty Inc-Los Angeles 1,1,3,NULL,25
Concorde Career College-North Hollywood,2,3,0.8805,681
Ventura College,2,1,NULL,11644
The Santa Barbara and Ventura Colleges of Law at Ventura,4,2,NULL,NULL
Victor Valley College,2,1,NULL,9825
Berkeley City College,2,1,NULL,6207
Walden University,4,3,NULL,7329
Waynes College of Beauty,1,3,NULL,25
West Hills College-Coalinga,2,1,NULL,3075
West Los Angeles College,2,1,NULL,10652
West Valley College,2,1,NULL,7118
Carrington College-Sacramento,2,3,0.4588,1186
Westminster Theological Seminary in California,4,2,NULL,NULL
Westmont College,3,2,0.8276,1277
Whittier College,4,2,0.6945,1594
Woodbury University,4,2,0.6624,1103
The Wright Institute,4,2,NULL,NULL
Western State College of Law at Argosy University,4,3,NULL,NULL
Thomas Jefferson School of Law,4,2,NULL,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,3,2,0.6406,151
Yuba College,2,1,NULL,5722
The Salon Professional Academy-Grand Junction,1,3,NULL,13
Adams State University,4,1,0.9857,1982
Aims Community College,2,1,NULL,3603
Arapahoe Community College,2,1,NULL,6762
Bel-Rea Institute of Animal Technology,2,3,0.3196,381
Altierus Career College-Colorado Springs,2,2,NULL,123
University of Colorado Denver/Anschutz Medical Campus,4,1,0.6052,11228
University of Colorado Colorado Springs,4,1,0.9286,10153
Spartan College of Aeronautics and Technology,2,3,NULL,478
University of Colorado Boulder,4,1,0.7662,27376
Colorado Christian University,4,2,NULL,4697
Colorado College,4,2,0.1599,2084
Concorde Career College-Aurora,2,3,0.8594,521
The Art Institute of Colorado,3,3,NULL,811
Colorado Mountain College,3,1,NULL,3523
Colorado Northwestern Community College,2,1,NULL,625
Colorado School of Mines,4,1,0.4035,4564
Colorado School of Trades,2,3,NULL,170
Colorado State University-Fort Collins,4,1,0.7796,23497
Colorado Technical University-Colorado Springs,4,3,NULL,21986
Community College of Aurora,2,1,NULL,4748
CollegeAmerica-Denver,3,2,NULL,201
Technical College of the Rockies,1,1,NULL,216
Community College of Denver,2,1,NULL,7622
Lincoln College of Technology-Denver,2,3,NULL,1033
Denver Seminary,4,2,NULL,NULL
University of Denver,4,2,0.5347,5738
Emily Griffith Technical College,1,1,NULL,4693
Fort Lewis College,4,1,0.9212,3444
Front Range Community College,2,1,NULL,14543
Glenwood Beauty Academy,1,3,NULL,36
Hair Dynamics Education Center,1,3,NULL,117
Iliff School of Theology,4,2,NULL,NULL
International Salon and Spa Academy,1,3,NULL,308
Lamar Community College,2,1,NULL,488
Colorado Mesa University,4,1,0.8275,8734
Metropolitan State University of Denver,4,1,0.6387,19334
Morgan Community College,2,1,NULL,681
Naropa University,4,2,1,374
National American University-Colorado Springs,3,3,NULL,194
Nazarene Bible College,3,2,NULL,693
Northeastern Junior College,2,1,NULL,1158
University of Northern Colorado,4,1,0.9027,9098
Otero Junior College,2,1,NULL,875
Altierus Career College-Thornton,2,2,NULL,142
Pikes Peak Community College,2,1,NULL,10796
IBMC College,2,3,NULL,269
Pueblo Community College,2,1,NULL,3922
Red Rocks Community College,2,1,NULL,6538
Regis University,4,2,0.5659,4016
Rocky Mountain College of Art and Design,4,3,NULL,898
Montessori Education Center of the Rockies,1,2,1,19
Colorado State University Pueblo,4,1,0.9638,3953
Pickens Technical College,1,1,NULL,1204
Intellitec College-Colorado Springs,2,3,NULL,742
Intellitec College-Grand Junction,2,3,NULL,942
Trinidad State Junior College,2,1,NULL,1048
United States Air Force Academy,3,1,0.1508,4237
Empire Beauty School-Thornton,1,3,NULL,85
Western Colorado University,4,1,0.9188,1987
Albertus Magnus College,4,2,NULL,1218
Paul Mitchell the School-Danbury,1,3,NULL,95
Asnuntuck Community College,2,1,NULL,1658
Bais Binyomin Academy,1,2,0.9444,33
Branford Hall Career Institute-Branford Campus,1,3,NULL,374
Lincoln College of New England-Southington,3,3,NULL,536
Bridgeport Hospital School of Nursing,1,2,NULL,158
University of Bridgeport,4,2,0.5778,2941
Central Connecticut State University,4,1,0.6001,9269
Charter Oak State College,3,1,NULL,1459
Cortiva Institute,1,3,NULL,267
Connecticut College,4,2,0.3513,1822
Porter and Chester Institute of Hamden,1,3,NULL,198
University of Connecticut,4,1,0.488,19030
Goodwin University,3,2,NULL,3390
Lincoln Technical Institute-East Windsor,1,3,NULL,837
Eastern Connecticut State University,4,1,0.5791,4818
Fairfield University,4,2,0.6147,3955
Paul Mitchell the School-North Haven,1,3,NULL,154
Capital Community College,2,1,NULL,2928
Rensselaer at Hartford,4,2,NULL,NULL
American Institute-West Hartford,1,3,NULL,415
Hartford Seminary,4,2,NULL,NULL
University of Hartford,4,2,0.7193,4924
Holy Apostles College and Seminary,4,2,NULL,116
Housatonic Community College,2,1,NULL,4744
Manchester Community College,2,1,NULL,5794
Naugatuck Valley Community College,2,1,NULL,5976
Middlesex Community College,2,1,NULL,2379
Mitchell College,3,2,0.8756,579
Three Rivers Community College,2,1,NULL,3905
Lincoln Technical Institute-New Britain,1,3,NULL,490
New England Tractor Trailer Training School of Connecticut,1,3,NULL,344
University of New Haven,4,2,0.8053,4850
Ridley-Lowell Business & Technical Institute-New London,1,3,NULL,156
Norwalk Community College,2,1,NULL,4598
Northwestern Connecticut Community College,2,1,NULL,1066
Paier College,3,3,NULL,95
Porter and Chester Institute,1,3,NULL,1928
Post University,4,3,0.4071,6932
Quinebaug Valley Community College,2,1,NULL,1434
Quinnipiac University,4,2,0.7644,7042
Sacred Heart University,4,2,0.5721,5325
University of Saint Joseph,4,2,0.876,843
Gateway Community College,2,1,NULL,6494
St Vincent's College,3,2,0.7049,745
Southern Connecticut State University,4,1,0.6352,7963
Stone Academy-West Haven,1,3,NULL,521
Tri-State College of Acupuncture,4,3,NULL,NULL
Trinity College,4,2,0.3395,2225
Tunxis Community College,2,1,NULL,3304
United States Coast Guard Academy,3,1,0.1992,986
Wesleyan University,4,2,0.1785,2913
Western Connecticut State University,4,1,0.6683,5001
