INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
University of Arizona,4,1,0.8513,34659
Central Arizona College,2,1,NULL,3985
Charles of Italy Beauty College,1,3,NULL,52
Cochise County Community College District,2,1,NULL,3135
Empire Beauty School-Chandler,1,3,NULL,44
Avalon Institute-Mesa,1,3,NULL,340
Eastern Arizona College,2,1,NULL,2627
Embry-Riddle Aeronautical University-Prescott,4,2,0.6685,2959
The School of Architecture,4,2,NULL,NULL
Glendale Community College,2,1,NULL,11506
Grand Canyon University,4,3,0.8069,62424
GateWay Community College,2,1,NULL,3875
Mesa Community College,2,1,NULL,13485
Mohave Community College,2,1,NULL,2410
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1,3,NULL,789
Dine College,3,1,NULL,1260
Northern Arizona University,4,1,0.8164,24880
Northland Pioneer College,2,1,NULL,1125
Ottawa University-Phoenix,4,2,NULL,387
Phoenix College,2,1,NULL,7655
Pima Community College,2,1,NULL,13606
Pima Medical Institute-Tucson,3,3,NULL,1970
Pima Medical Institute-Albuquerque,2,3,NULL,606
Prescott College,4,2,0.9842,413
Refrigeration School Inc,2,3,NULL,897
Rio Salado College,2,1,NULL,6288
Roberto-Venn School of Luthiery,1,3,NULL,23
Scottsdale Community College,2,1,NULL,5567
South Mountain Community College,2,1,NULL,2487
Arizona Christian University,3,2,0.7147,883
Universal Technical Institute of Arizona Inc,2,3,NULL,1845
Empire Beauty School-NW Phoenix,1,3,NULL,61
Yavapai College,2,1,NULL,3951
University of Arkansas at Little Rock,4,1,0.5604,5620
University of Arkansas for Medical Sciences,4,1,NULL,838
Arkansas Baptist College,3,2,NULL,468
Arkansas Beauty School-Little Rock,1,3,NULL,15
Arkansas Beauty College,1,3,NULL,38
Lyon College,3,2,0.5015,665
Arkansas Technical School,1,3,NULL,84
Arthur's Beauty College,1,3,NULL,29
University of Arkansas,4,1,0.7767,22624
University of Arkansas at Pine Bluff,4,1,0.5966,2440
Arkansas State University-Beebe,2,1,NULL,2137
Arkansas State University,4,1,0.6719,7739
Arkansas Tech University,4,1,0.9766,7384
University of Arkansas at Monticello,4,1,NULL,2048
Arthur's Beauty College,1,3,NULL,57
Baptist Health College Little Rock,2,2,0.5,661
Black River Technical College,2,1,NULL,1105
University of Central Arkansas,4,1,0.9378,8237
Central Baptist College,3,2,0.4981,554
Cossatot Community College of the University of Arkansas,2,1,NULL,862
Crowley's Ridge College,3,2,NULL,172
East Arkansas Community College,2,1,NULL,652
Eastern College of Health Vocations-Little Rock,1,3,NULL,80
Paul Mitchell the School-Little Rock,1,3,NULL,405
National Park College,2,1,NULL,1895
University of Arkansas Community College-Batesville,2,1,NULL,844
Harding University,4,2,0.5507,3492
Henderson State University,4,1,0.749,2603
Hendrix College,4,2,0.7054,1065
Hot Springs Beauty College,1,3,NULL,81
Jefferson Regional Medical Center School of Nursing,2,2,NULL,55
John Brown University,4,2,0.5886,1437
Career Academy of Hair Design,1,3,NULL,192
Academy of Salon and Spa,1,3,NULL,53
Arkansas State University Mid-South,2,1,NULL,571
Arkansas Northeastern College,2,1,NULL,814
New Tyler Barber College Inc,1,3,NULL,35
North Arkansas College,2,1,NULL,1211
Northwest Technical Institute,1,1,NULL,186
Ouachita Baptist University,3,2,0.6177,1520
Arkansas State University Three Rivers,2,1,NULL,460
Ozarka College,2,1,NULL,722
University of the Ozarks,3,2,0.559,831
University of Arkansas Community College-Morrilton,2,1,1,1631
Philander Smith College,3,2,NULL,796
Phillips Community College of the University of Arkansas,2,1,NULL,593
Southeast Arkansas College,2,1,NULL,921
Professional Cosmetology Education Center,1,3,NULL,38
University of Arkansas-Pulaski Technical College,2,1,NULL,4311
University of Arkansas Hope-Texarkana,2,1,NULL,834
University of Arkansas Community College Rich Mountain,2,1,NULL,558
Paul Mitchell the School-Arkansas,1,3,NULL,101
Searcy Beauty College,1,3,NULL,79
Shorter College,2,2,NULL,223
Williams Baptist University,4,2,0.693,580
South Arkansas Community College,2,1,NULL,1004
Southern Arkansas University Main Campus,4,1,0.6853,3121
Southern Arkansas University Tech,2,1,NULL,721
Velvatex College of Beauty Culture,1,3,NULL,11
University of Arkansas-Fort Smith,4,1,NULL,4615
Academy of Art University,4,3,NULL,6024
Academy of Chinese Culture and Health Sciences,4,2,NULL,NULL
College of Alameda,2,1,NULL,3768
Allan Hancock College,2,1,NULL,7848
American Academy of Dramatic Arts-Los Angeles,1,2,0.8939,106
Berkeley School of Theology,4,2,NULL,NULL
American Film Institute Conservatory,4,2,NULL,NULL
American Beauty College,1,3,NULL,114
American Career College-Los Angeles,2,3,NULL,1751
American Conservatory Theater,4,2,NULL,1
American River College,2,1,NULL,22433
Antelope Valley Community College District,3,1,NULL,10716
Art Center College of Design,4,2,0.7609,1907
Associated Technical College-Los Angeles,1,3,NULL,92
Associated Technical College-San Diego,1,3,NULL,45
Azusa Pacific University,4,2,0.936,4498
Bakersfield College,3,1,NULL,18571
Barstow Community College,2,1,NULL,2201
Bellus Academy-Chula Vista,1,3,NULL,334
Bethesda University,4,2,NULL,285
Biola University,4,2,0.6438,3683
Brownson Technical School,1,3,NULL,57
Bryan University,3,3,NULL,1350
Butte College,2,1,NULL,8843
California Institute of Integral Studies,4,2,NULL,98
Cabrillo College,2,1,NULL,8667
California Baptist University,4,2,0.8018,8093
California College of the Arts,4,2,0.8545,1225
University of California-Hastings College of Law,4,1,NULL,NULL
California Institute of Technology,4,2,0.0669,901
California Lutheran University,4,2,0.7439,2800
California Polytechnic State University-San Luis Obispo,4,1,0.3843,21451
Alliant International University-San Diego,4,3,0.381,226
California State University-Bakersfield,4,1,0.7838,9955
California State University-Stanislaus,4,1,0.8932,9855
California State University-San Bernardino,4,1,0.7812,17037
California State Polytechnic University-Pomona,4,1,0.6481,27862
California State University-Chico,4,1,0.9017,15689
California State University-Dominguez Hills,4,1,0.812,16013
California State University-Fresno,4,1,0.9011,22334
California State University-Fullerton,4,1,0.6762,36874
California State University-East Bay,4,1,0.7328,13041
California State University-Long Beach,4,1,0.4212,34188
California State University-Los Angeles,4,1,0.7648,22820
California State University-Northridge,4,1,0.6581,34881
California State University-Sacramento,4,1,0.8309,29228
University of California-Berkeley,4,1,0.1748,30796
University of California-Davis,4,1,0.4635,31142
University of California-Irvine,4,1,0.2992,29627
University of California-Los Angeles,4,1,0.1433,31636
University of California-Riverside,4,1,0.6578,22609
University of California-San Diego,4,1,0.3661,31827
University of California-San Francisco,4,1,NULL,NULL
University of California-Santa Barbara,4,1,0.367,23166
University of California-Santa Cruz,4,1,0.6473,17207
Sofia University,4,3,NULL,9
California Beauty School,1,3,NULL,47
California Christian College,3,2,1,13
Haven University,4,2,NULL,19
California Hair Design Academy,1,3,NULL,77
California Institute of the Arts,4,2,0.2742,762
California State University Maritime Academy,4,1,0.8249,907
California Western School of Law,4,2,NULL,NULL
Canada College,2,1,NULL,4279
College of the Canyons,2,1,NULL,18391
Career Academy of Beauty,1,3,NULL,179
Casa Loma College-Van Nuys,2,2,NULL,164
CET-San Diego,1,2,NULL,197
CET-San Jose,1,2,NULL,171
CET-El Centro,1,2,NULL,144
CET-Colton,1,2,NULL,135
CET-Watsonville,1,2,NULL,116
CET-Salinas,1,2,NULL,163
Cerritos College,2,1,NULL,19574
Cerro Coso Community College,2,1,NULL,4019
Chabot College,2,1,NULL,11023
Chaffey College,2,1,NULL,16568
Chapman University,4,2,0.5826,7231
Charles R Drew University of Medicine and Science,4,2,0.25,239
Concordia University-Irvine,4,2,0.7818,1703
San Diego Christian College,4,2,0.4967,449
Church Divinity School of the Pacific,4,2,NULL,NULL
Citrus College,2,1,NULL,9953
Citrus Heights Beauty College,1,3,NULL,81
City College of San Francisco,2,1,NULL,17910
Claremont Graduate University,4,2,NULL,NULL
Claremont McKenna College,4,2,0.1334,1262
Milan Institute-Visalia,1,3,NULL,383
Clovis Adult Education,1,1,NULL,507
Coastline Community College,2,1,NULL,7677
University of Silicon Valley,4,3,0.4194,510
Coba Academy,1,3,NULL,86
Western University of Health Sciences,4,2,NULL,NULL
Columbia College,2,1,NULL,1840
Columbia College Hollywood,3,2,NULL,760
Compton College,2,1,NULL,3180
Contra Costa College,2,1,NULL,5036
Cosumnes River College,2,1,NULL,13354
Crafton Hills College,2,1,NULL,5274
Cuesta College,2,1,NULL,8005
Cuyamaca College,2,1,NULL,7398
Cypress College,3,1,NULL,13906
De Anza College,2,1,NULL,16476
International School of Beauty Inc,1,3,NULL,164
Dell'Arte International School of Physical Theatre,4,2,NULL,0
College of the Desert,2,1,NULL,9670
Design Institute of San Diego,3,3,1,124
Diablo Valley College,2,1,NULL,16632
Dominican University of California,4,2,0.8574,1374
Dominican School of Philosophy & Theology,4,2,NULL,NULL
East Los Angeles College,2,1,NULL,29275
El Camino Community College District,2,1,NULL,17979
Emperor's College of Traditional Oriental Medicine,4,3,NULL,NULL
Empire College,4,3,NULL,166
Evergreen Valley College,2,1,NULL,7593
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,4,3,0.3864,1847
FIDM-Fashion Institute of Design & Merchandising-San Francisco,3,3,0.322,113
Feather River Community College District,3,1,NULL,1173
Federico Beauty Institute,1,3,NULL,303
Fielding Graduate University,4,2,NULL,NULL
Five Branches University,4,3,NULL,NULL
Redondo Beach Beauty College,1,3,NULL,67
Foothill College,3,1,NULL,12519
Franciscan School of Theology,4,2,NULL,NULL
Fredrick and Charles Beauty College,1,3,NULL,53
Fresno City College,2,1,NULL,18448
Fresno Pacific University,4,2,0.6694,2711
Fuller Theological Seminary,4,2,NULL,NULL
Fullerton College,2,1,NULL,19548
Gavilan College,2,1,NULL,3849
Gemological Institute of America-Carlsbad,1,2,NULL,29
Glendale Community College,2,1,NULL,11583
Glendale Career College,2,3,NULL,632
Golden Gate University,4,2,NULL,586
Golden West College,2,1,NULL,10057
Graduate Theological Union,4,2,NULL,NULL
Grossmont College,2,1,NULL,13518
Salon Success Academy-Riverside,1,3,NULL,125
Hartnell College,2,1,NULL,7509
Harvey Mudd College,3,2,0.1796,827
Hilltop Beauty School,1,3,NULL,104
Holy Names University,4,2,0.8912,703
Pacifica Graduate Institute,4,3,NULL,NULL
Humboldt State University,4,1,0.8514,5991
Humphreys University-Stockton and Modesto Campuses,4,2,NULL,226
Imperial Valley College,2,1,NULL,6156
Institute for Business and Technology,2,3,NULL,579
Interior Designers Institute,4,3,NULL,139
International School of Cosmetology,1,3,NULL,139
Irvine Valley College,2,1,NULL,10255
Bellus Academy-El Cajon,1,3,NULL,184
American Jewish University,4,2,NULL,37
Reedley College,2,1,NULL,4626
Life Pacific University,4,2,0.931,487
University of La Verne,4,2,0.7625,4118
Laguna College of Art and Design,4,2,0.8292,732
Lake Tahoe Community College,2,1,NULL,2046
Lancaster Beauty School,1,3,NULL,0
Laney College,2,1,NULL,6901
Lassen Community College,2,1,NULL,1619
Latin American Bible Institute,3,2,0.7273,60
Life Chiropractic College West,4,2,NULL,NULL
Lincoln University,4,2,NULL,88
Southern California Seminary,4,2,NULL,50
La Sierra University,4,2,0.5697,1462
Loma Linda University,4,2,NULL,1013
Long Beach City College,2,1,NULL,21634
Southern California University of Health Sciences,4,2,NULL,164
Los Angeles Harbor College,2,1,NULL,6694
Los Angeles Pierce College,2,1,NULL,15248
Los Angeles Southwest College,2,1,NULL,4135
Los Angeles Trade Technical College,2,1,NULL,9150
Los Angeles Valley College,2,1,NULL,13439
The Master's University and Seminary,4,2,0.5988,1448
Los Angeles City College,2,1,NULL,12383
Los Angeles County College of Nursing and Allied Health,2,1,NULL,200
Los Angeles Mission College,2,1,NULL,7274
Los Medanos College,2,1,NULL,7528
Loyola Marymount University,4,2,0.5014,6564
Lu Ross Academy,1,3,NULL,190
Lyle's College of Beauty,1,3,NULL,92
Lyle's College of  Beauty,1,3,NULL,87
Lytles Redwood Empire Beauty College,1,3,NULL,79
MTI College,2,3,0.8023,491
College of Marin,2,1,NULL,3394
Marymount California University,4,2,NULL,515
Mendocino College,2,1,NULL,2392
Menlo College,3,2,0.6451,825
Merced College,2,1,NULL,8944
Merritt College,2,1,NULL,4913
Mills College,4,2,0.9114,603
MiraCosta College,3,1,NULL,11825
Mission College,2,1,NULL,5510
Modern Beauty Academy,1,3,NULL,36
Modesto Junior College,3,1,NULL,15172
Moler Barber College,1,3,NULL,288
Middlebury Institute of International Studies at Monterey,4,2,NULL,13
Monterey Peninsula College,2,1,NULL,6106
Moorpark College,2,1,NULL,12583
Mt San Antonio College,2,1,NULL,26037
Mount Saint Mary's University,4,2,0.8933,2026
Mt San Jacinto Community College District,2,1,NULL,12507
Musicians Institute,3,3,0.6844,683
Napa Valley College,2,1,NULL,4421
National Holistic Institute,1,3,NULL,1071
National University,4,2,0.8936,7864
Naval Postgraduate School,4,1,NULL,NULL
Newschool of Architecture and Design,4,3,0.9625,359
Newberry School of Beauty,1,3,NULL,89
North Adrian's College of Beauty Inc,1,3,NULL,215
North-West College-Pomona,1,3,NULL,121
North-West College-West Covina,2,3,NULL,663
North-West College-Van Nuys,1,3,NULL,175
Notre Dame de Namur University,4,2,NULL,211
Occidental College,3,2,0.409,1835
Ohlone College,2,1,NULL,7686
Orange Coast College,2,1,NULL,17201
Otis College of Art and Design,4,2,0.8032,1030
Oxnard College,2,1,NULL,6360
Hope International University,4,2,0.3829,657
Concorde Career College-San Diego,2,3,0.9384,733
Palo Alto University,4,2,NULL,76
Pacific Oaks College,4,2,0.2667,496
Pacific School of Religion,4,2,NULL,NULL
Pacific States University,4,2,NULL,2
Pacific Union College,3,2,0.5917,940
University of the Pacific,4,2,0.7075,3493
Palo Verde College,2,1,NULL,3423
Palomar College,2,1,NULL,18018
Pasadena City College,2,1,NULL,23035
Pepperdine University,4,2,0.4185,3457
Pitzer College,3,2,0.1657,922
Platt College-San Diego,3,3,NULL,96
Point Loma Nazarene University,4,2,0.8355,3209
Pomona College,3,2,0.0862,1462
Porterville College,2,1,NULL,3032
Professional Institute of Beauty,1,3,NULL,118
Santa Ana College,3,1,NULL,18076
Pardee RAND Graduate School,4,2,NULL,NULL
Shasta School of Cosmetology,1,3,NULL,80
University of Redlands,4,2,0.6865,2810
College of the Redwoods,2,1,NULL,3297
Salon Success Academy-Upland,1,3,NULL,192
Salon Success Academy-Corona,1,3,NULL,139
Rio Hondo College,3,1,NULL,14152
Riverside City College,2,1,NULL,17813
Rosemead Beauty School,1,3,NULL,15
Dongguk University Los Angeles,4,2,NULL,3
Sacramento City College,2,1,NULL,18310
Saddleback College,2,1,NULL,16871
Samuel Merritt University,4,2,NULL,692
San Diego City College,2,1,NULL,12519
San Diego Mesa College,3,1,NULL,17661
San Diego Miramar College,2,1,NULL,10966
San Diego State University,4,1,0.367,31293
University of San Diego,4,2,0.587,5454
San Francisco Art Institute,4,2,0.9467,22
San Francisco Conservatory of Music,4,2,0.4562,243
San Francisco State University,4,1,0.8409,23411
University of San Francisco,4,2,0.703,5810
San Joaquin College of Law,4,2,NULL,NULL
San Joaquin Delta College,2,1,NULL,15456
San Joaquin Valley College-Visalia,3,3,NULL,1815
San Joaquin Valley College-Bakersfield,2,3,NULL,700
William Jessup University,4,2,0.6521,1279
San Jose City College,2,1,NULL,7214
San Jose State University,4,1,0.6737,27614
College of San Mateo,2,1,NULL,6165
Santa Barbara Business College-Bakersfield,4,3,NULL,99
Santa Barbara Business College-Santa Maria,3,3,NULL,99
Santa Barbara City College,2,1,NULL,11245
Santa Clara University,4,2,0.5072,5606
Santa Monica College,3,1,NULL,23696
Santa Rosa Junior College,2,1,NULL,14197
Saybrook University,4,2,NULL,NULL
Scripps College,4,2,0.3513,930
College of the Sequoias,2,1,NULL,10260
Shasta Bible College and Graduate School,4,2,1,28
Shasta College,3,1,NULL,5611
Sierra College,2,1,NULL,14802
Sierra College of Beauty,1,3,NULL,145
Trinity Law School,4,2,NULL,NULL
Simpson University,4,2,0.5972,696
College of the Siskiyous,2,1,NULL,996
Charles A Jones Career and Education Center,1,1,NULL,117
Skyline College,3,1,NULL,6694
San Bernardino Valley College,2,1,NULL,10623
Saint Mary's College of California,4,2,0.7731,2461
Solano Community College,3,1,NULL,8032
Sonoma State University,4,1,0.8912,7231
South Baylo University,4,2,NULL,NULL
South Coast College,2,3,NULL,254
Vanguard University of Southern California,4,2,0.4999,1995
Concorde Career College-Garden Grove,2,3,0.9754,603
Southwestern College,2,1,NULL,15548
St John's Seminary,0,2,NULL,NULL
Starr King School for the Ministry,4,2,NULL,NULL
Marshall B Ketchum University,4,2,NULL,NULL
Southern California Institute of Architecture,4,2,0.673,249
University of Southern California,4,2,0.1611,19521
Southwestern Law School,4,2,NULL,NULL
Taft College,2,1,NULL,3219
Claremont School of Theology,4,2,NULL,NULL
Thomas Aquinas College,3,2,0.8553,462
Epic Bible College & Graduate School,0,2,NULL,117
United Education Institute-Huntington Park Campus,1,3,NULL,1104
Concorde Career College-San Bernardino,2,3,0.933,638
Concorde Career College-North Hollywood,2,3,0.9567,613
Ventura College,2,1,NULL,10702
The Santa Barbara and Ventura Colleges of Law at Ventura,4,2,NULL,NULL
Bridges Beauty College,1,3,NULL,49
Victor Valley College,2,1,NULL,8488
Berkeley City College,2,1,NULL,4806
Walden University,4,3,NULL,7595
Waynes College of Beauty,1,3,NULL,26
West Hills College-Coalinga,2,1,NULL,2530
West Los Angeles College,3,1,NULL,9579
West Valley College,2,1,NULL,6391
Carrington College-Sacramento,2,3,NULL,1668
Westminster Theological Seminary in California,4,2,NULL,NULL
Westmont College,3,2,0.7016,1226
Whittier College,4,2,0.7233,1488
Woodbury University,4,2,0.704,1019
The Wright Institute,4,2,NULL,NULL
Thomas Jefferson School of Law,4,2,NULL,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,3,2,0.7286,135
Yuba College,2,1,NULL,4054
The Salon Professional Academy-Grand Junction,1,3,NULL,60
Adams State University,4,1,0.9988,1612
Aims Community College,2,1,NULL,3433
Arapahoe Community College,2,1,NULL,6146
Bel-Rea Institute of Animal Technology,2,3,0.2375,306
University of Colorado Denver/Anschutz Medical Campus,4,1,0.663,11392
University of Colorado Colorado Springs,4,1,0.8961,9839
Spartan College of Aeronautics and Technology,2,3,NULL,292
University of Colorado Boulder,4,1,0.842,29779
Colorado Christian University,4,2,NULL,4804
Colorado College,4,2,0.136,2023
Concorde Career College-Aurora,2,3,0.9444,329
Colorado Mountain College,3,1,NULL,2938
Colorado Northwestern Community College,2,1,NULL,584
Colorado School of Mines,4,1,0.5497,5173
Colorado School of Trades,2,3,0.8611,96
Colorado State University-Fort Collins,4,1,0.8352,23332
Colorado Technical University-Colorado Springs,4,3,NULL,24504
Community College of Aurora,2,1,NULL,3840
Technical College of the Rockies,1,1,NULL,150
Community College of Denver,3,1,NULL,5761
Lincoln College of Technology-Denver,2,3,NULL,1529
Denver Seminary,4,2,NULL,NULL
University of Denver,4,2,0.6067,5683
Emily Griffith Technical College,1,1,NULL,5059
Fort Lewis College,4,1,0.9151,3205
Front Range Community College,2,1,NULL,12336
Iliff School of Theology,4,2,NULL,NULL
International Salon and Spa Academy,1,3,NULL,284
Lamar Community College,2,1,NULL,439
Colorado Mesa University,4,1,0.7544,8146
Metropolitan State University of Denver,4,1,0.8333,17255
Morgan Community College,2,1,NULL,696
Naropa University,4,2,1,318
Nazarene Bible College,3,2,NULL,351
Northeastern Junior College,2,1,NULL,862
University of Northern Colorado,4,1,0.877,7531
Otero Junior College,2,1,NULL,772
Pikes Peak Community College,3,1,NULL,9583
Pueblo Community College,3,1,NULL,3556
Red Rocks Community College,4,1,NULL,4518
Regis University,4,2,0.782,3071
Rocky Mountain College of Art and Design,3,3,NULL,1625
Montessori Education Center of the Rockies,1,2,0.8571,5
Colorado State University Pueblo,4,1,0.9431,3275
Pickens Technical College,1,1,NULL,903
Intellitec College-Colorado Springs,2,3,NULL,585
Intellitec College-Grand Junction,2,3,NULL,874
Trinidad State Junior College,2,1,NULL,967
United States Air Force Academy,3,1,0.1343,4307
Empire Beauty School-Thornton,1,3,NULL,93
Western Colorado University,4,1,0.885,1682
Albertus Magnus College,4,2,0.8126,1076
Asnuntuck Community College,2,1,NULL,981
Bais Binyomin Academy,0,2,0.7083,35
University of Bridgeport,4,2,0.7095,2338
Central Connecticut State University,4,1,0.6485,8402
Charter Oak State College,4,1,NULL,1471
Cortiva Institute,1,3,NULL,93
Connecticut College,3,2,0.3772,1711
Porter and Chester Institute of Hamden,1,3,NULL,371
University of Connecticut,4,1,0.5609,18658
Goodwin University,4,2,NULL,2918
Lincoln Technical Institute-East Windsor,1,3,NULL,1036
Eastern Connecticut State University,4,1,0.697,4104
Fairfield University,4,2,0.5613,4319
Paul Mitchell the School-North Haven,1,3,NULL,211
Capital Community College,2,1,NULL,2331
Rensselaer at Hartford,4,2,NULL,NULL
American Institute-West Hartford,1,3,NULL,383
Hartford Seminary,4,2,NULL,NULL
University of Hartford,4,2,0.7741,4378
Holy Apostles College and Seminary,4,2,NULL,195
Housatonic Community College,2,1,NULL,3470
Manchester Community College,2,1,NULL,4045
Naugatuck Valley Community College,2,1,NULL,4709
Middlesex Community College,2,1,NULL,1826
Mitchell College,3,2,0.7422,571
Three Rivers Community College,2,1,NULL,2933
Lincoln Technical Institute-New Britain,1,3,NULL,612
New England Tractor Trailer Training School of Connecticut,1,3,NULL,307
University of New Haven,4,2,0.911,5078
Norwalk Community College,2,1,NULL,3790
Northwestern Connecticut Community College,2,1,NULL,1058
Paier College,3,3,0.9449,122
Porter and Chester Institute,1,3,NULL,1819
Post University,4,3,NULL,12630
Quinebaug Valley Community College,2,1,NULL,1030
Quinnipiac University,4,2,0.8239,6787
Sacred Heart University,4,2,0.6553,6356
University of Saint Joseph,4,2,0.7802,884
Gateway Community College,2,1,NULL,5491
Southern Connecticut State University,4,1,0.7968,7239
Stone Academy-West Haven,1,3,NULL,557
Trinity College,4,2,0.3604,2194
Tunxis Community College,2,1,NULL,2979
United States Coast Guard Academy,3,1,0.2009,1056
Wesleyan University,4,2,0.209,2838
Western Connecticut State University,4,1,0.8072,4500
Yale University,4,2,0.0653,4701
Margaret H Rollins School of Nursing at Beebe Medical Center,1,2,NULL,78
Dawn Career Institute LLC,1,3,NULL,224
Delaware Technical Community College-Terry,3,1,NULL,11209
Delaware State University,4,1,0.3934,3881
University of Delaware,4,1,0.6599,18618
Goldey-Beacom College,4,2,0.5521,676
Schilling-Douglas School of Hair Design LLC,1,3,NULL,116
Wesley College,4,2,0.5859,790
Wilmington University,4,2,NULL,8713
American University,4,2,0.3865,7510
The Catholic University of America,4,2,0.8223,3017
University of the District of Columbia,4,1,NULL,3297
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,4,2,NULL,NULL
Gallaudet University,4,2,0.6262,1004
George Washington University,4,2,0.4304,11106
Georgetown University,4,2,0.1681,7119
Howard University,4,2,0.3864,7784
Strayer University-District of Columbia,4,3,NULL,610
National Conservatory of Dramatic Arts,1,2,1,32
Trinity Washington University,4,2,0.9579,1415
Wesley Theological Seminary,4,2,NULL,NULL
Atlantic Technical College,1,1,NULL,2288
The Baptist College of Florida,4,2,0.7556,268
Barry University,4,2,0.653,3249
Bethune-Cookman University,4,2,0.9773,2746
Lynn University,4,2,0.7868,2452
North Florida Technical College,1,1,NULL,131
Eastern Florida State College,3,1,NULL,10590
Broward College,3,1,NULL,27128
Albizu University-Miami,4,2,0.7872,144
College of Central Florida,3,1,NULL,4862
Johnson University Florida,3,2,0.3731,159
University of Central Florida,4,1,0.4517,61111
Charlotte Technical College,1,1,NULL,208
Chipola College,3,1,NULL,1340
Lorenzo Walker Technical College,1,1,NULL,736
Daytona State College,3,1,NULL,9821
South University-West Palm Beach,4,3,NULL,415
Eckerd College,3,2,0.6858,1819
Florida SouthWestern State College,3,1,NULL,11682
Edward Waters University,3,2,0.5703,969
Embry-Riddle Aeronautical University-Daytona Beach,4,2,0.606,6399
Florida Agricultural and Mechanical University,4,1,0.3298,7072
Florida Atlantic University,4,1,0.7478,24396
Florida State College at Jacksonville,3,1,NULL,19053
Flagler College,4,2,0.5649,2671
Florida College,3,2,0.7634,488
Concorde Career Institute-Jacksonville,2,3,0.9111,555
Concorde Career Institute-Miramar,2,3,0.9389,434
Concorde Career Institute-Tampa,2,3,0.9436,405
AdventHealth University,4,2,0.9087,1129
Florida Institute of Technology,4,2,0.7037,3188
Florida Institute of Ultrasound Inc,1,3,NULL,62
Florida International University,4,1,0.5788,41220
The College of the Florida Keys,3,1,NULL,842
Florida Memorial University,4,2,0.3841,887
Florida Career College-Miami,2,3,NULL,504
Florida School of Massage,1,3,NULL,0
Florida Southern College,4,2,0.5037,2724
Florida State University,4,1,0.3245,32384
University of Florida,4,1,0.3113,34237
